true ambi dex shape ambi_rel dex_rel
27274961.99999997 27274961.99999997 27274961.99999997 path3 0.0 0.0
2968368.0000000023 17373409.098747972 27274961.99999997 K3 0.767367305180363 0.9632464130910756
8815817960.000004 8815817960.000004 8815817959.99996 claw 0.0 -2.1697367997449015e-15
1814063426.0000021 4645423608.15067 7182211293.577737 path4 0.4083728552556049 0.5976057100505543
399664089.9999998 2833660084.4667387 7182211293.577772 pan3 0.8506526241964534 1.2545630490370179
120015083.9999999 1814063425.9999976 7182211293.577772 fan2 1.1794166340098178 1.7770223440603752
241167376.00000018 1814063425.9999976 7182211293.577737 cycle4 0.876333909337535 1.4739396193880903
68431391.99999999 1814063426.0000021 7182211293.577737 K4 1.423397093137685 2.021002803188239
6021442833593.994 6021442833593.935 6021442833593.964 K14 -4.291257226162149e-15 -2.1697367997449015e-15
471168570664.0002 1892827412193.6064 2140331288821.131 chair 0.6039347037451911 0.6573046872470324
118513399749.99991 1253127579960.7944 2140331288821.131 cricket 1.0242278316873825 1.2567135435983674
21586840617.99995 595491008306.0071 2090849252430.2124 dart 1.4406861231695622 1.9861336368543567
59966536087.99992 935197828599.977 2090849252430.192 bull 1.1929945268436575 1.5424137589274636
8786683884.000008 457045047473.7915 2090849252430.192 K3u2K1c 1.7161340051074845 2.3764977196724413
149441890914.0002 960423726367.1516 2090849252430.192 path5 0.8079905262315537 1.145850367743326
40466350961.99996 595491008306.0042 2090849252430.2021 pan4 1.1677811643668552 1.7132286780516497
34118624007.99997 593714518657.474 2090849252430.2124 pan4c 1.2405861613595361 1.7873312139607336
19397983050.000004 457045047473.787 2090849252430.192 K23 1.3722024317941766 2.0325661463591373
10302081845.99999 330666984918.1096 2090849252430.2021 house 1.5064658395651565 2.3073977260094347
12664358664.000008 373088076172.4575 2090849252430.192 butterfly 1.4692281677201418 2.217739520297769
6284432286.000004 330666984918.11127 2090849252430.1816 P2uP3c 1.7211247842987372 2.5220566707430088
4185990015.9999957 330666984918.11127 2090849252430.1714 wheel4 1.897592647254131 2.6985245336984005
16334053850.00001 556092659801.5123 2090849252430.192 kite 1.5320531795689953 2.1072287388330344
10723997471.999998 556092659801.5233 2090849252430.2021 clawuK1c 1.7147904596696881 2.2899660189337205
6953121717.999993 330666984918.11127 2090849252430.192 fan3 1.6772110034205687 2.4781428898648428
4703517952.000003 330666984918.11127 2090849252430.2124 P3u2K1c 1.8469680294792286 2.6478999159235066
3150351324.0000033 330666984918.11127 2090849252430.192 K5_e 2.021031846850123 2.821963733294397
16701320020.00003 330666984918.1096 2090849252430.2021 cycle5 1.2966400376436553 2.0975719240879336
2337766920.0000005 330666984918.108 2090849252430.192 K5 2.150589626460006 2.9515215129042844
