true ambi dex shape ambi_rel dex_rel
4127523.999999996 4127523.9999999856 4127523.9999999856 path3 -1.060760213208617e-15 -1.060760213208617e-15
1048156.0000000008 3397377.7316139736 4127523.999999996 K3 0.5107179111161542 0.5952636824760703
235580165.99999988 235580165.99999928 235580165.99999928 claw -1.1089765865362815e-15 -1.1089765865362815e-15
110655230.00000006 176477003.42420608 235580165.99999928 path4 0.20271617563932073 0.3281667782609969
32327146.99999998 137732347.64105093 235580165.99999988 pan3 0.6294685719987472 0.862571345391281
10834054.0 110655230.00000006 235580165.99999928 fan2 1.0091809493047286 1.3373477275657255
20199484.00000002 110655230.00000006 235580166.00000045 cycle4 0.7386316697623788 1.0667984480233779
7199287.999999998 110655230.00000006 235580165.99999928 K4 1.1866823977993872 1.5148491760603842
27383555463.999958 27383555463.99982 27383555463.999958 K14 -2.1697367997449015e-15 0.0
7010130725.999988 18738939218.01432 26082130194.740467 chair 0.4270188856847755 0.57061694162445
3506614290.0000024 12856275882.06403 26082130194.740593 path5 0.5642271850630681 0.871455060165345
2252712413.000002 12961334466.447454 26082130194.740593 cricket 0.7599439655821214 1.0636373063335118
992540326.0000002 8990422841.183252 26082130194.740467 pan4c 0.9570319573476151 1.4195948976784412
325508798.0000001 6432149216.510706 26082130194.740467 butterfly 1.2957933794860144 1.9037803270853235
856609251.999999 8471020236.939876 26082130194.740337 pan4 0.9951529584744858 1.4835602976765039
350202413.0 5901821971.73753 26082130194.740593 cycle5 1.2266669707056026 1.8720239242797752
439724374.00000054 7010130725.999988 26082130194.740337 K23 1.2025455775256815 1.7731625191501295
1278975064.0000005 12017749776.45511 26082130194.740467 bull 0.972961080072786 1.3094809812754415
500836762.9999997 8471020236.939876 26082130194.740467 dart 1.2282395192962892 1.7166468584983094
221912418.00000003 5901821971.73753 26082130194.740593 house 1.4248044992801998 2.0701614528543724
239877423.99999973 7010130725.999988 26082130194.740337 K3u2K1c 1.4657367404513364 2.0363536820757844
145789543.0 5901821971.737501 26082130194.740467 P2uP3c 1.6072597302855642 2.2526166838597366
95548271.9999999 5901821971.737559 26082130194.740467 wheel4 1.7907632676798357 2.436120221254004
385558338.9999995 8294600263.888656 26082130194.740337 kite 1.3327053605557788 1.8302529578111515
268420510.99999973 8294600263.888738 26082130194.740593 clawuK1c 1.489979762395714 1.9875273596510865
143392642.00000015 5901821971.737501 26082130194.740337 fan3 1.6144592382149776 2.259816191789148
105024159.9999999 5901821971.737559 26082130194.740467 P3u2K1c 1.7496968882156854 2.3950538417898537
76690482.00000001 5901821971.737559 26082130194.740467 K5_e 1.886244637562155 2.531601591136323
63486877.99999998 5901821971.737559 26082130194.740467 K5 1.968302133938899 2.613659087513067
