true ambi dex shape ambi_rel dex_rel
488852.0000000003 488851.99999999907 488851.99999999907 path3 -1.1089765865362815e-15 -1.1089765865362815e-15
289778.9999999997 451902.9061557413 488852.0000000015 K3 0.19297822487715832 0.22711048693754277
16306889.999999993 16306890.000000032 16306890.000000032 claw 1.0607602132086145e-15 1.0607602132086145e-15
13560523.000000015 15331024.430810379 16306889.999999952 path4 0.05329473606280118 0.08009470197567542
10266905.0 14416702.141081415 16306889.999999993 pan3 0.14742638222794627 0.20093159812726677
8457035.0 13560523.000000015 16306889.999999952 fan2 0.20505831170005107 0.2851530136757265
9387008.000000006 13560523.000000015 16306889.999999993 cycle4 0.15974925166164244 0.23984395363731895
7904166.000000001 13560523.000000015 16306889.999999952 K4 0.23442038710448834 0.31451508908016373
741581264.0000007 741581264.0000025 741581264.0000025 K14 1.0607602132086145e-15 1.0607602132086145e-15
567639198.9999998 692701339.5293934 741581264.0000007 chair 0.08647364892302635 0.11608637031163992
495825900.0000002 647043242.7022815 741581264.0000025 path5 0.11560409721296362 0.17482953999019085
455068242.99999946 644653690.0582328 741581264.0000025 cricket 0.15124994368589426 0.2120822195909953
397283861.0000004 602305546.2120115 741581264.0000025 pan4c 0.18071593938578506 0.2710578259361969
331365849.00000036 560981166.4596282 741581264.0000025 butterfly 0.228640533719882 0.3498510014252116
391975461.0 596915460.5875112 741581264.0000025 pan4 0.18265394805504018 0.2768998692981174
348018717.0000001 554401228.2393565 741581264.0000007 cycle5 0.20222158213307706 0.3285561472320952
330673358.0000002 567639199.0000011 741581264.0000025 K23 0.2346731728632764 0.3507595431749164
432561701.00000006 640353502.0726156 741581264.0000025 bull 0.17037172462372283 0.2341106844697255
364411108.99999976 596915460.5875126 741581264.0000025 dart 0.21432121972808688 0.30856714097116306
324976670.9999999 554401228.2393591 741581264.0000025 house 0.23197199822170592 0.358306563320723
309857805.0 567639198.9999983 741581264.0000025 K3u2K1c 0.2629099384873569 0.3789963087989989
305655832.9999997 554401228.2393565 741581264.0000025 P2uP3c 0.2585914956679433 0.38492606076696245
289478403.00000024 554401228.2393565 741581264.0000007 wheel4 0.2822080157190911 0.40854258081810924
360255316.9999998 595681638.2541815 741581264.0000025 kite 0.21840381400465553 0.31354834957894423
341766304.99999964 595681638.2541741 741581264.0000025 clawuK1c 0.24128497020839196 0.3364295057826861
306468085.99999976 554401228.2393606 741581264.0000025 fan3 0.25743892772573035 0.3837734928247463
291353085.0 554401228.2393591 741581264.0000025 P3u2K1c 0.27940456276624764 0.4057391278652648
277259764.0000003 554401228.2393565 741581264.0000025 K5_e 0.3009373345190544 0.4272718996180736
265862757.0000002 554401228.2393565 741581264.0000007 K5 0.31916667967796936 0.44550124477698744
