true ambi dex shape ambi_rel dex_rel
30795430.000000004 30795430.000000004 30795430.000000004 path3 0.0 0.0
20154623.00000001 28541274.79460743 30795430.000000004 K3 0.15109868803390802 0.1841115936513758
7754261013.99999 7754261013.99999 7754261013.99999 claw 0.0 0.0
6374261996.999995 7247257192.752287 7754261013.99999 path4 0.055743763941208835 0.08511050556337883
4853743649.00001 6790907631.402229 7754261013.99999 pan3 0.14585098802709123 0.20346358029049047
3768210067.0000014 6374261996.999995 7754261013.99999 fan2 0.22829480453973872 0.31340531010311756
3956598986.0 6374261996.999995 7754261013.99999 cycle4 0.2071078746607562 0.29221838022413504
3607221940.000004 6374261996.999995 7754261013.99999 K4 0.24725704622724204 0.33236755179062083
2382113831949.9946 2382113831949.9946 2382113831950.018 K14 0.0 4.243040852834442e-15
1768944303031.004 2175755724395.849 2291951296828.0254 chair 0.08989597588944809 0.11249122585422607
1487341261175.9995 2015806553414.3425 2291951296828.014 path5 0.1320382266501729 0.18779475867041368
1407773655667.0005 2023253405585.5476 2291951296828.0254 cricket 0.15751744629381467 0.21167255100033094
1163330281672.0 1872808256158.4656 2291951296828.014 pan4c 0.20679028225819476 0.2945023517911922
753250178321.0012 1740244810776.6604 2291951296828.003 butterfly 0.36367110425690535 0.48326614162764164
1087927188461.0009 1858319106205.3403 2291951296828.0254 pan4 0.2325204617194041 0.3236055544125226
907634207507.0012 1717191616625.7903 2291951296828.0254 cycle5 0.2769079040819925 0.40229452929233256
860843716521.9983 1768944303031.0127 2291951296828.003 K23 0.3127898451235983 0.4252810709778179
1301466680596.9978 1996898099326.6233 2291951296828.0254 bull 0.18592284958466862 0.2457723307564339
1050090620045.0024 1858319106205.3403 2291951296828.0254 dart 0.24789351293974662 0.33897860563286514
860407447218.0004 1717191616625.7903 2291951296828.0254 house 0.3001145988275337 0.4255012240378738
848263673590.9991 1768944303030.995 2291951296828.014 K3u2K1c 0.31918328994582046 0.4316745158000465
818386144762.9994 1717191616625.7988 2291951296828.003 P2uP3c 0.3218604913933847 0.44724711660371835
794635074227.0011 1717191616625.7903 2291951296828.014 wheel4 0.33465102920226086 0.4600376544125989
1030979788264.9994 1851771226534.1628 2291951296828.014 kite 0.2543371803084958 0.34695523349953455
998972655252.0001 1851771226534.3362 2291951296828.014 clawuK1c 0.268033731092382 0.3606517842833802
833367891659.9985 1717191616625.8157 2291951296828.003 fan3 0.3139819958079742 0.4393686210183037
809065930625.9994 1717191616625.782 2291951296828.014 P3u2K1c 0.32683484594804046 0.45222147115838046
786668932891.9985 1717191616625.782 2291951296828.0254 K5_e 0.33902676021362305 0.4644133854239652
779072476656.9999 1717191616625.782 2291951296828.014 K5 0.343240897861893 0.46862752307223304
