true ambi dex shape ambi_rel dex_rel
651468.9999999993 651468.9999999993 651468.9999999993 path3 0.0 0.0
171238.00000000017 573021.8063190245 651468.9999999993 K3 0.524571002554698 0.5802936079548153
14471230.999999983 14471230.999999948 14471230.999999983 claw -1.060760213208617e-15 0.0
9855684.0 12636115.995524194 14471231.000000019 path4 0.10792683355375253 0.16681870570981835
3289059.999999996 11122770.951558769 14471230.999999948 pan3 0.5291411979134331 0.643433680010026
1903428.0000000012 9855683.999999976 14471231.000000019 fan2 0.7141503167575605 0.8809690224673798
3168715.0000000037 9855684.000000024 14471231.000000019 cycle4 0.49280359067291885 0.6596222963827362
1583454.9999999995 9855683.999999976 14471231.000000019 K4 0.7940810446574412 0.9608997503672606
443415181.0000003 443415181.0000025 443415181.0000025 K14 2.1215204264172266e-15 2.1215204264172266e-15
243230801.9999998 378623048.2550745 443415180.9999992 chair 0.19218847582426954 0.2607919859722431
176940298.9999999 323306076.51986915 443415181.0000003 path5 0.26178711040679076 0.3989838009495577
87336956.00000004 321969800.6207456 443415181.0000025 cricket 0.566617087496585 0.7056125066124658
68720581.99999993 275216347.89427084 443415181.00000143 pan4c 0.6025873985772887 0.8097237288590592
45414346.0 235291841.2299365 443415181.0000003 butterfly 0.7144138038196125 0.9896174933625326
73222899.99999994 268920260.18046284 443415181.00000143 pan4 0.5649765976021063 0.782163632610983
52787799.99999998 227717180.93240422 443415181.0000025 cycle5 0.6348622361501567 0.9242769951793041
56001133.00000004 243230801.9999998 443415181.0000003 K23 0.6378217581742965 0.8986137441465407
75070287.99999994 314817813.9967399 443415181.00000143 bull 0.622591216979049 0.7713424757729169
49250636.00000004 268920260.1804622 443415180.9999992 dart 0.7372116796144841 0.9543987146233597
45037114.0 227717180.93240422 443415181.00000143 house 0.7038252458077757 0.993240004836922
40616974.0 243230802.0000028 443415180.99999815 K3u2K1c 0.7773110068434487 1.0381029928156853
40856109.99999998 227717180.93240368 443415180.9999992 P2uP3c 0.7461387846097184 1.0355535436388636
37410246.000000045 227717180.93240422 443415181.0000003 wheel4 0.7844052347281113 1.0738199937572563
47930612.000000015 267069841.6092776 443415181.0000025 kite 0.7460118745539412 0.9661975834738719
42107042.999999955 267069841.60928288 443415181.0000003 clawuK1c 0.8022701050302039 1.0224558139501239
39731959.00000004 227717180.93240312 443415181.00000143 fan3 0.7582558200977249 1.0476705791268732
37174188.00000004 227717180.93240422 443415181.00000143 P3u2K1c 0.7871543077886841 1.0765690668178305
35265263.0 227717180.93240255 443415181.0000025 K5_e 0.8100486716843657 1.0994634307135163
33586459.99999998 227717180.93240368 443415181.00000143 K5 0.8312315669607032 1.1206463259898505
