true ambi dex shape ambi_rel dex_rel
51501447.999999955 51501447.999999955 51501447.999999955 path3 0.0 0.0
4362264.000000003 26849889.39722796 51501447.99999983 K3 0.7892305559294218 1.0721074945922267
29611410083.999966 29611410083.999966 29611410083.999966 claw 0.0 0.0
4733430782.000006 13296666317.81289 19161341876.11762 path4 0.44856673947990017 0.6072498889005399
996134222.0 8067461783.399205 19161341876.11762 pan3 0.9084190563137704 1.2841080591581837
150475368.00000003 4733430782.000006 19161341876.11762 fan2 1.4977106166147247 2.1049605055152645
392733065.9999997 4733430782.000006 19161341876.11762 cycle4 1.0810785626598174 1.6883284515603572
56199336.00000003 4733430782.000006 19161341876.11743 K4 1.9254448463434193 2.532694735243955
27298546649451.94 27298546649451.94 27298546649451.94 K14 0.0 0.0
1947463795561.997 7289120114507.084 8009597647180.17 chair 0.5732057142103026 0.6141413077110784
572331195105.9987 4964999624388.764 8009597647180.209 cricket 0.9382718020546092 1.1459632824324917
55777514651.999886 2269805190158.205 7129062128378.532 dart 1.6095294257769346 2.1065732405582374
234378844394.00034 3483029914358.816 7129062128378.567 bull 1.17203879582065 1.4831139908845337
11008361532.000004 1711157520659.4497 7129062128378.567 K3u2K1c 2.1915673063303784 2.811309715477558
575099719032.0004 3494451277947.3022 7129062128378.567 path5 0.7836358341975831 1.0932892440998159
119127693709.99986 2269805190158.205 7129062128378.497 pan4 1.2799758507349164 1.777019665516217
99343084279.99983 2134991466339.8464 7129062128378.567 pan4c 1.3322585041681243 1.8558947602195826
43553311593.99998 1711157520659.4497 7129062128378.567 K23 1.5942688080144474 2.2140112171616266
13634298349.999979 1233309768320.3538 7129062128378.532 house 1.9564393781697489 2.71839960638602
22997666375.999977 1336913258284.8796 7129062128378.567 butterfly 1.764419460812995 2.4913486300876775
5365938273.999993 1233309768320.3477 7129062128378.532 P2uP3c 2.361426498759701 3.123386726975974
2242066376.0000024 1233309768320.3599 7129062128378.497 wheel4 2.7404237056397003 3.5023839338559672
33224957015.999947 2072596153796.1426 7129062128378.532 kite 1.7950502601236986 2.3315679717637834
16703589240.000029 2072596153796.2244 7129062128378.532 clawuK1c 2.0937048862157503 2.630222597855818
6591941175.999987 1233309768320.3538 7129062128378.532 fan3 2.272058848078477 3.034019076294748
2991238568.0000033 1233309768320.3538 7129062128378.567 P3u2K1c 2.6152211194787056 3.377181347694979
1272795840.0 1233309768320.3538 7129062128378.567 K5_e 2.98631342410968 3.748273652325953
30837257429.999985 1233309768320.3538 7129062128378.567 cycle5 1.6019964250118348 2.363956653228108
697122720.0000001 1233309768320.3538 7129062128378.567 K5 3.247762934200092 4.009723162416366
