true ambi dex shape ambi_rel dex_rel
35769065.99999999 35769065.9999999 35769065.9999999 path3 -1.1089765865362815e-15 -1.1089765865362815e-15
3985991.9999999963 32485958.42598159 35769065.9999999 K3 0.9111592614596868 0.9529711772981007
2213071736.0000014 2213071736.0000014 2213071735.9999957 claw 0.0 -1.1089765865362815e-15
1467160659.9999988 1877068195.5964997 2213071736.0000014 path4 0.10700237778006894 0.17851781822786633
189796734.00000018 1643573529.9250352 2213071736.0000067 pan3 0.9375004033811822 1.0667067568027737
40241563.99999997 1467160659.9999952 2213071736.0000014 fan2 1.5618028220855549 1.7403206403134224
160209744.0000001 1467160659.9999952 2213071736.0000067 cycle4 0.961788746982371 1.1403065652102395
15215880.000000004 1467160660.0000024 2213071736.0000014 K4 1.9841805988973444 2.1626984171252097
247723688706.00006 247723688706.00006 247723688706.00006 K14 0.0 0.0
98429008753.99995 186766165819.71387 247723688706.00006 chair 0.2781750916193521 0.4008444267147012
13275766725.999971 145151735952.2115 247723688706.00006 cricket 1.0387626215383523 1.2709079255710616
2298371686.0 108984526658.8903 247723688706.00006 dart 1.6759445794352723 2.032547275331064
9910692142.00001 135637038421.15244 247723688706.00006 bull 1.1362743128062691 1.3978635524440806
613853099.9999993 98429008753.99898 247723688706.00006 K3u2K1c 2.2050586580905933 2.605903084805299
64970936742.00001 142903190488.97018 247723688706.00006 path5 0.3423227966476796 0.5812484097978967
8606156495.999983 108984526658.8903 247723688706.00006 pan4 1.1025556031980446 1.459158299093836
8369427146.000003 113752163885.5202 247723688706.00128 pan4c 1.1332639336274992 1.4712718049257425
3385292561.9999986 98429008753.99995 247723688706.00006 K23 1.4635269044758306 1.8643713311905317
1326030140.0 87807433521.66975 247723688706.00006 house 1.8209778880921412 2.271414142729623
1447397183.9999998 92966653391.26038 247723688706.00128 butterfly 1.807739474185919 2.2333798148620114
593522625.9999996 87807433521.66933 247723688706.00006 P2uP3c 2.170094003985638 2.620530258623121
237021511.99999973 87807433521.67018 247723688706.00128 wheel4 2.5687435193354444 3.019179773972926
1999706817.9999993 107178428928.01022 247723688706.00006 kite 1.7291410593259193 2.093001210871445
807726761.9999994 107178428928.01392 247723688706.00006 clawuK1c 2.122842914282904 2.4867030658284146
502201570.0000001 87807433521.66975 247723688706.00006 fan3 2.242653217483304 2.6930894721207856
225044756.00000003 87807433521.66975 247723688706.00006 P3u2K1c 2.5912623861201385 3.04169864075762
109537523.99999997 87807433521.66975 247723688706.00006 K5_e 2.903968363712329 3.3544046183498106
3412767619.9999976 87807433521.66975 247723688706.00006 cycle5 1.4104245659868127 1.8608608206242943
55193879.999999985 87807433521.66975 247723688706.00006 K5 3.201640358549402 3.6520766131868836
