true ambi dex shape ambi_rel dex_rel
6779142.000000002 6779142.000000002 6779142.000000002 path3 0.0 0.0
588522.0000000006 6278390.259773214 6779142.000000002 K3 1.028085605420861 1.0614120288153308
152097088.00000003 152097088.00000003 152097088.00000042 claw 0.0 1.0607602132086145e-15
113245619.99999996 135922678.97896588 152097087.99999964 path4 0.07927051190208512 0.12809948547037292
11103615.999999993 123395901.7827948 152097087.99999964 pan3 1.0458363021530117 1.136656465253893
2431434.000000003 113245619.9999994 152097087.99999928 fan2 1.6681589284368707 1.7962584139072446
17237085.99999998 113245619.9999994 152097087.99999964 cycle4 0.8175575653725994 0.9456570508429745
853872.0000000005 113245619.99999996 152097087.99999928 K4 2.122628641313057 2.250728126783429
4941135834.000004 4941135833.999979 4941135834.000004 K14 -2.1697367997449015e-15 0.0
2748662869.9999986 4179579312.899226 4941135834.000004 chair 0.18201109507746147 0.2547053171352632
2045113670.000002 3550876600.2637587 4941135834.000004 path5 0.23961812835219037 0.38310934135020985
284293240.00000024 3559352274.027486 4941135833.999979 cricket 1.0976044398138456 1.240060259956143
200493243.99999985 3048793663.05583 4941135834.000004 pan4c 1.1820282902534336 1.391727050173327
32048260.00000002 2649871486.88275 4941135834.000028 butterfly 1.9174203567982917 2.188022337707245
350539196.00000036 2968191142.564955 4941135834.000028 pan4 0.9277552785384202 1.1490902067750808
91017589.99999996 2554630825.6400514 4941135834.000004 cycle5 1.4482028164171008 1.7347014610997364
185207952.0000002 2748662870.0000052 4941135834.000028 K23 1.1714618464585362 1.4261671635938002
231202060.00000012 3439329261.177162 4941135834.000004 bull 1.1724820553043724 1.329835093689967
54543115.999999985 2968191142.564948 4941135833.999979 dart 1.735751919589245 1.9570868478259025
40375970.000000015 2554630825.6400385 4941135834.000004 house 1.8012051792795314 2.087703823962169
15529577.999999993 2748662869.999978 4941135834.000028 K3u2K1c 2.2479618214731176 2.5026671386083863
21271743.999999974 2554630825.6400385 4941135834.000028 P2uP3c 2.0795250505855263 2.3660236952681664
7856818.000000003 2554630825.6400385 4941135834.000004 wheel4 2.512081455311429 2.7985800999940667
49775590.00000006 2941668606.4898415 4941135834.000004 kite 1.7715773292177968 1.9968103764909753
19084050.000000015 2941668606.4897037 4941135834.000004 clawuK1c 2.187923199991762 2.413156247264961
13087632.00000001 2554630825.6400385 4941135833.999979 fan3 2.2904670733759107 2.5769657180585464
5973819.999999993 2554630825.64002 4941135834.000028 P3u2K1c 2.6310760157849296 2.9175746604675723
3213672.0000000005 2554630825.6400323 4941135834.000004 K5_e 2.9003265994306417 3.1868252441132805
1552920.0 2554630825.6400323 4941135834.000004 K5 3.2161790650637445 3.5026777097463833
