true ambi dex shape ambi_rel dex_rel
4166041.0000000014 4166041.0000000116 4166041.0000000116 path3 1.0607602132086145e-15 1.0607602132086145e-15
72095.99999999993 769976.8559088416 2258927.603056282 K3 1.0285665012298626 1.4959911422856582
4072439905.0000005 4072439905.0000105 4072439904.9999905 claw 1.0607602132086145e-15 -1.060760213208617e-15
74383236.0 234619744.51699305 296394233.3650424 path4 0.4988894893744345 0.6003946816063498
20785622.999999996 142862093.59309074 296394233.3650431 pan3 0.8371539642765138 1.1541067037829569
4711252.000000005 60997420.601918265 296394233.3650424 fan2 1.1121751355646983 1.7987334149500405
10700154.999999989 60997420.60191796 296394233.3650439 cycle4 0.7559214015657925 1.442479680951139
304009.0000000003 60997420.601918116 296394233.3650417 K4 2.302425029566324 2.988983308951666
5143455779821.009 5143455779821.034 5143455779821.034 K14 2.1215204264172266e-15 2.1215204264172266e-15
41714847051.9999 103986798832.98538 104548419119.01324 chair 0.39668755335776196 0.39902681464174833
7948188895.000004 26506741896.432194 40664830716.25376 path5 0.5230881693460622 0.7089507888015941
20893977963.000004 95280108463.27942 104548419119.01324 cricket 0.6589811105425297 0.6992963379015257
341465957.0000003 10572212445.340334 38889932308.23007 pan4c 1.490818469074664 2.0564897747296285
108416355.99999987 5729003891.311331 38889932308.23007 butterfly 1.7229843111890408 2.5547423811691448
5083705212.000003 21180455646.06666 40664830716.25376 pan4 0.6197549394155366 0.9030386094666012
138927152.99999997 5390627692.17721 38889932308.23007 cycle5 1.5888522020693077 2.4470500513009865
4280450083.0 18568457715.249027 40664830716.25376 K23 0.6372863961664098 0.9777295318770441
7191045011.9999895 26506741896.432194 40664830716.25376 bull 0.5665643420513699 0.7524269615069018
4776490301.000007 21180455646.06687 40664830716.25376 dart 0.6468263984459302 0.9301100684969903
82285515.99999993 5390627692.177183 38889932308.23007 house 1.8163159411053478 2.674513790337029
4078642104.0000033 18568457715.249027 40664830716.25376 K3u2K1c 0.6582602348394204 0.9987033705500546
38248453.00000002 5390627692.17721 38889932308.23007 P2uP3c 2.1490254636485977 3.007223312880277
15492600.000000015 5390627692.177183 38889932308.23007 wheel4 2.5415150299150104 3.3997128791466915
186221224.00000015 10572212445.340334 38889932308.23007 kite 1.754136704696264 2.3198080103512284
109538451.00000012 10572212445.340334 38889932308.23007 clawuK1c 1.98459928634924 2.5502705920042046
51719496.99999996 5390627692.17721 38889932308.23007 fan3 2.017985045503131 2.87618289473481
27746593.99999998 5390627692.177237 38889932308.23007 P3u2K1c 2.288429658553784 3.1466275077854613
8224511.000000006 5390627692.177237 38889932308.22969 K5_e 2.81652925219053 3.6747271014222025
1698858.0000000019 5390627692.17721 38889932308.23007 K5 3.5014822583460763 4.359680107577756
