true ambi dex shape ambi_rel dex_rel
21356115.99999999 21356115.99999999 21356115.99999999 path3 0.0 0.0
4002773.999999998 16094459.99832544 21356115.99999999 K3 0.6043153396439656 0.727161200985166
917308218.0000008 917308218.0000008 917308218.0000008 claw 0.0 0.0
206831061.99999994 476370960.67649466 917308218.0000008 path4 0.36232951735560526 0.6468995223929207
56977336.00000006 296320880.4723167 917308217.9999986 pan3 0.7160601156918812 1.2068131445397763
18125538.00000002 206831061.99999893 917308218.0000054 fan2 1.0573248557885764 1.7042243781815014
65863071.999999955 206831061.99999994 917308218.0000031 cycle4 0.4969737785907951 1.143873300983717
6623064.0 206831061.9999979 917308218.0000031 K4 1.4945568101564413 2.1414563325493674
166620159424.00006 166620159424.00006 166620159423.99924 K14 0.0 -2.1697367997449015e-15
7263965195.999989 65109553132.49842 139013439632.5443 chair 0.9524709599833502 1.2818830346176935
2324389356.000001 28174694245.869488 139013439632.5443 cricket 1.0835503337229961 1.776747911269975
415380054.0000004 10425662893.9359 139013439632.5443 dart 1.3996580397746168 2.52461115083679
1057165479.9999989 22947037454.43652 139013439632.5443 bull 1.3365836509841353 2.118913815771588
167751738.0000001 7263965195.999989 139013439632.5443 K3u2K1c 1.6365067262797466 2.91838976089744
3189183022.0 25997178819.732895 139013439632.545 path5 0.91124677804311 1.6393773458822964
1597061287.9999983 10425662893.9359 139013439632.5443 pan4 0.8147820955093573 1.9397352065715305
550741573.9999998 11877767604.05583 139013439632.5443 pan4c 1.3337869623402847 2.40210892784981
1156030258.0000014 7263965195.999989 139013439632.545 K23 0.7982045531919835 2.080087587809679
216669412.00000018 4906126395.778518 139013439632.5443 house 1.3549411279428374 2.807259184557287
193142388.00000012 5969751367.193751 139013439632.5443 butterfly 1.4900786469833502 2.857179192599424
122767079.99999991 4906126395.778469 139013439632.5443 P2uP3c 1.6016568063519576 3.0539748629664114
52990790.00000003 4906126395.778469 139013439632.5443 wheel4 1.9665383385425697 3.4188563951570234
229784420.00000024 9868018206.784792 139013439632.5443 kite 1.6329093630848113 2.7817362102710153
102976410.0000001 9868018206.785376 139013439632.5443 clawuK1c 1.9814921948771902 3.1303190420633684
88160763.9999999 4906126395.778469 139013439632.5457 fan3 1.7454633875621424 3.197781444176601
40478788.000000045 4906126395.778469 139013439632.5443 P3u2K1c 2.0835112321250167 3.5358292887394707
19922483.99999999 4906126395.778469 139013439632.5443 K5_e 2.3913952459663093 3.8437133025807633
406881189.99999964 4906126395.778469 139013439632.5457 cycle5 1.0812711196675422 2.533589176282
7386120.000000008 4906126395.778469 139013439632.5443 K5 2.8223223734563425 4.2746404300707965
