true ambi dex shape ambi_rel dex_rel
45661510.00000005 45661510.00000005 45661510.00000005 path3 0.0 0.0
13346310.000000002 36694862.11186446 45661510.00000005 K3 0.439244051931164 0.5341890611007025
2722193972.0000014 2722193972.0000086 2722193972.0000014 claw 1.157192959863943e-15 0.0
1453845122.0000017 2194627746.1452045 2722193972.0000014 path4 0.17884272194588727 0.27240092432111646
659157130.0000001 1781451327.8972542 2722193972.0000014 pan3 0.4317850070932303 0.6159301138179702
433521657.9999999 1453845122.0000017 2722193972.0000014 fan2 0.5255073446689399 0.7979082689900563
530084527.99999994 1453845121.9999945 2722193972.0000086 cycle4 0.43817301532019726 0.710573939641317
401116608.00000006 1453845121.999998 2722193972.0000014 K4 0.5592474995676058 0.8316484238887233
293002920261.9994 293002920261.9994 293002920262.0008 K14 0.0 2.1215204264172266e-15
116678022558.00008 231465487887.24078 293002920262.0008 chair 0.2974971855790902 0.39988288869043376
63887835922.0001 180626445750.23483 293002920261.9994 cricket 0.45136315875838695 0.6614537713553219
41967179734.00001 138290463563.03204 293002920261.9994 dart 0.517882447562147 0.84396216398059
54141307887.99991 176188010420.53787 293002920262.0008 bull 0.5124476085938255 0.733343206059035
34563594606.0 116678022558.00294 293002920261.9994 K3u2K1c 0.5283701574696513 0.9282530461600723
77959203619.99995 182852348485.02856 293002920262.0008 path5 0.37023314861950446 0.5750045548421916
46479957192.00006 138290463563.0327 293002920261.9994 pan4 0.47352651302730375 0.7996062294457447
48332497803.99991 142718206786.62833 293002920262.0008 pan4c 0.47024014039803325 0.7826327089607873
37556732349.999916 116678022558.00008 293002920261.9994 K23 0.49230126101301097 0.8921841497034427
35552305792.000084 107047829627.57332 293002920261.9994 house 0.478710093765126 0.9160041761188451
37246744619.99994 111711302189.3147 293002920262.0008 butterfly 0.47700879306266825 0.8957836276074255
33905158106.00008 107047829627.57437 293002920261.9994 P2uP3c 0.4993120925767017 0.9366061749304165
32712392685.999996 107047829627.57385 293002920261.9994 wheel4 0.5148655555556421 0.952159637909359
41180106930.00009 137232612808.81502 293002920262.0008 kite 0.5227698620782797 0.852184478852547
39584207592.00001 137232612808.81569 293002920261.9994 clawuK1c 0.5399353765376257 0.8693499933118888
34067691149.999958 107047829627.57385 293002920262.00226 fan3 0.4972351651140866 0.9345292474678079
33034912803.99993 107047829627.57385 293002920261.9994 P3u2K1c 0.5106047016686549 0.9478987840223718
32089632060.00006 107047829627.57437 293002920261.9994 K5_e 0.5232131289899001 0.9605072113436149
37721816629.99993 107047829627.57385 293002920262.0008 cycle5 0.45298526690508634 0.8902793492588054
31519636680.0 107047829627.57385 293002920261.9994 K5 0.5309966636613612 0.9682907460150783
