true ambi dex shape ambi_rel dex_rel
2954940368.000003 2954940368.000003 2954940368.000003 path3 0.0 0.0
18338315.999999993 509741484.0211047 2334753581.135793 K3 1.4439905269029363 2.1048815981307367
34468305116757.96 34468305116757.96 34468305116757.793 claw 0.0 -2.121520426417237e-15
243021870490.00027 1816392398692.3066 3097334193019.7783 path4 0.8735643165621823 1.105342707731422
26673345223.999996 748670720263.4395 3097334193019.7783 pan3 1.448213362725938 2.0649105810231965
1025358564.0000012 231850111901.4633 3097334193019.763 fan2 2.3543315467571304 3.480112303864861
9654097655.999987 231850111901.46445 3097334193019.7783 cycle4 1.380495622232641 2.5062763793403717
119687159.99999997 231850111901.4633 3097334193019.7783 K4 3.2871597479091093 4.4129405050168415
7.861269179594802e+17 7.861269179594764e+17 7.86126917959484e+17 K14 -2.121520426417237e-15 2.1215204264172266e-15
1503136055767137.2 9221622564524848.0 9406736199026054.0 chair 0.787809050474951 0.7964406725523829
394172637554683.75 6108940453385102.0 9406736199026054.0 cricket 1.1902794184974894 1.3777524915224242
5376837870541.998 792216676419327.5 4108989993960118.5 dart 2.168317038946438 2.883208142428977
29616058281861.973 1326948446417787.0 4108989993960078.0 bull 1.6513267942524796 2.1422078276235172
634613133828.0012 621286985734336.1 4108989993960078.0 K3u2K1c 2.9907832004948527 3.8112260277572982
29616058281861.973 1326948446417780.5 4108989993960118.5 path5 1.6513267942524774 2.1422078276235217
43311513122535.984 792216676419304.1 4108989993960078.0 pan4 1.2622406237831196 1.977131727265667
2358772289855.999 454898388410375.75 4108989993960098.5 pan4c 2.2852283810620575 3.2410490665120575
35464538829685.92 621286985734333.0 4108989993960058.0 K23 1.2434979396400168 2.063940766902462
161490080915.99973 160882622629895.78 4108989993960078.0 house 2.9983632851604027 4.405589231545064
51018334544.000114 160882622629897.34 4108989993960078.0 P2uP3c 3.49878286002152 4.906008806406177
8057628100.000001 160882622629895.78 4108989993960078.0 wheel4 4.300301918659125 5.707527865043787
531676097899.99884 450308681983318.1 4108989993960078.0 kite 2.927863183718397 3.8880879471338097
217291881767.99985 450308681983318.1 4108989993960098.5 clawuK1c 3.3164668193046 4.276691582720015
43400171476.00005 160882622629894.2 4108989993960078.0 fan3 3.569017691870167 4.976243638254833
12011982780.000023 160882622629897.34 4108989993960037.5 P3u2K1c 4.126894436366306 5.5341203827509595
2634345287.999999 160882622629897.34 4108989993960078.0 K5_e 4.785836439249143 6.1930623856338
351091453216.00055 190250736382500.6 4108989993960118.5 butterfly 2.73390608906186 4.068314826327813
479711509980.0006 160882622629895.78 4108989993960078.0 cycle5 2.5255289984474345 3.9327549448320958
865433639.9999996 160882622629895.78 4108989993960098.5 K5 5.269275364787198 6.6765013111718625
