true ambi dex shape ambi_rel dex_rel
2301681.9999999986 2301681.9999999986 2301681.9999999986 path3 0.0 0.0
341943.9999999998 1793780.9997463305 2301681.9999999986 K3 0.7198144318422295 0.8280903336986998
141843641.9999999 141843641.99999958 141843641.99999958 claw -1.0125438398809526e-15 -1.0125438398809526e-15
51920000.00000005 94125495.67739953 141843641.9999999 path4 0.2583725924750636 0.4364751899581686
9263300.000000006 68192815.93642323 141843641.9999999 pan3 0.8669728951760302 1.1850441444680988
3897997.9999999967 51919999.999999925 141843641.99999958 fan2 1.1244930718401576 1.560968261798326
10597996.000000006 51920000.00000005 141843641.9999999 cycle4 0.6901109325296708 1.1265861224878393
2459598.000000002 51919999.99999967 141843641.99999958 K4 1.3244705525622087 1.7609457425203796
16919258686.00001 16919258686.00001 16919258686.000092 K14 0.0 2.1215204264172266e-15
2889398359.9999967 10143864272.727755 15093926649.189085 chair 0.5453960076658366 0.7179948132034075
1433867576.0000014 6094700622.845595 15093926649.18901 path5 0.6284433333729952 1.0222931909812096
459852315.99999976 6364086807.628413 15093926649.189085 cricket 1.141117716786068 1.5161838570456363
227402793.0000001 3869755191.430022 15093926649.189085 pan4c 1.2308876970736804 1.8220064406889573
88533528.00000009 2552159127.429098 15093926649.189085 butterfly 1.4597999783067197 2.23169446425266
399749955.9999995 3574756024.0152993 15093926649.18901 pan4 0.9514579820694714 1.57701381053654
146281594.0 2262120486.083319 15093926649.189085 cycle5 1.1893260486862627 2.0136125510444214
243379792.00000012 2889398360.000004 15093926649.18901 K23 1.0745229063427977 1.792517719546202
283528714.0 5593223630.523994 15093926649.189085 bull 1.295065135750253 1.7262051870901993
125628864.00000004 3574756024.0152817 15093926649.18901 dart 1.4541569740059141 2.0797128024729847
91635513.00000009 2262120486.083319 15093926649.189085 house 1.3924519173037446 2.2167384196619033
69756897.99999994 2889398359.9999824 15093926649.18901 K3u2K1c 1.6172202621151628 2.3352150753185703
63643780.00000005 2262120486.083308 15093926649.189085 P2uP3c 1.550759766967703 2.3750462693258636
44005103.999999985 2262120486.083308 15093926649.18901 wheel4 1.7110126810700004 2.535299183428159
109256189.00000006 3445033897.0439873 15093926649.189085 kite 1.498747451780627 2.1403561874742176
72022728.99999997 3445033897.0440044 15093926649.18901 clawuK1c 1.6797239263394477 2.321332662033034
59371485.999999985 2262120486.083308 15093926649.189085 fan3 1.5809378138409735 2.4052243161991345
43343176.99999997 2262120486.083319 15093926649.189085 P3u2K1c 1.7175949914081692 2.541881493766328
32844499.999999993 2262120486.083319 15093926649.18901 K5_e 1.8380530779132973 2.662339580271454
25501864.000000007 2262120486.083308 15093926649.188936 K5 1.947943807445588 2.7722303098037444
