true ambi dex shape ambi_rel dex_rel
14227090.000000011 14227090.000000011 14227090.000000011 path3 0.0 0.0
3146008.999999999 11149167.687042803 14227090.000000011 K3 0.5494824867319716 0.6553561181442086
3013325393.9999967 3013325393.999982 3013325393.9999895 claw -2.121520426417237e-15 -1.0125438398809526e-15
1186737885.0000014 2087623707.7085755 2832836952.128641 path4 0.24529741334593397 0.3778667719671044
377180696.9999996 1543340777.7792614 2832836952.1286483 pan3 0.6119123724443714 0.8756721200984617
114074549.00000012 1186737884.9999983 2832836952.1286483 fan2 1.0171660464086445 1.395032818375751
235592136.0000002 1186737884.9999955 2832836952.128641 cycle4 0.7021940171216866 1.0800607890887932
54480766.000000015 1186737885.0000014 2832836952.1286483 K4 1.3381116017181325 1.7159783736852379
1159677352029.9983 1159677352029.9983 1159677352029.9983 K14 0.0 0.0
237964977237.00024 586173225552.7266 654057721377.6196 chair 0.3915129334439486 0.4391030330428686
114798918524.00018 387707846802.0061 653547222841.3143 path5 0.528566794001335 0.7553391767592385
95162440505.0002 441763931262.3853 654057721377.6196 cricket 0.6667246828209633 0.8371505057408899
32515547126.00004 283650729579.4925 653547222841.3143 pan4c 0.9406928388496923 1.3031859074173964
11671218673.000023 209054365091.39566 653547222841.3175 butterfly 1.2531430340090355 1.7481607674047566
35813852887.00008 279197892659.14685 653547222841.311 pan4 0.8918610906562484 1.2612259281986715
17341294971.000034 191608943709.55518 653547222841.3175 cycle5 1.0433342511943509 1.5761954479839433
13680681736.000027 235775547845.6093 653547222841.3175 K23 1.2363910229544643 1.679169233826458
52182759226.99988 376821241023.82385 653547222841.3175 bull 0.8586083363204048 1.0977499342994843
19906501493.000015 279197892659.14685 653547222841.3175 dart 1.1469171951771313 1.5162820327195587
8886438301.999983 191608943709.55518 653547222841.3175 house 1.3336880467770074 1.8665492435665998
7195883632.999986 235775547845.6093 653547222841.3175 K3u2K1c 1.5154146310374783 1.9581928419094718
4362822704.99999 191608943709.55518 653547222841.3175 P2uP3c 1.6426482121067987 2.175509408896391
2327609576.999997 191608943709.55518 653547222841.3175 wheel4 1.9155056412922322 2.4483668380818244
13716718088.000025 268704893814.5673 653547222841.3175 kite 1.2920253632185676 1.6780267606029056
7599500158.000001 268704893814.56992 653547222841.3175 clawuK1c 1.5484905477717474 1.9344919451560814
4906660048.000001 191608943709.55707 653547222841.3175 fan3 1.5916298072754027 2.124491004064991
2676566909.9999976 191608943709.55612 653547222841.3175 P3u2K1c 1.854837672191194 2.3876988689807845
1446176903.9999993 191608943709.55518 653547222841.3175 K5_e 2.122194355327586 2.6550555521171786
900164550.9999992 191608943709.55518 653547222841.3175 K5 2.3280938705596887 2.860955067349281
