true ambi dex shape ambi_rel dex_rel
1413772.0000000014 1413772.0000000014 1413772.0000000014 path3 0.0 0.0
242597.99999999997 1089577.2125557282 1413772.0000000014 K3 0.6523707956362893 0.765492159950751
91125081.9999999 91125082.00000012 91125082.00000012 claw 1.0607602132086145e-15 1.0607602132086145e-15
36883174.00000004 64207616.591910966 91125082.00000012 path4 0.2407582616412454 0.3928096447125154
10822081.999999996 47837448.30821516 91125081.9999999 pan3 0.6454571856447073 0.9253271118294664
3252582.0000000033 36883174.00000013 91125082.00000012 fan2 1.0546000331617769 1.4474096778742913
7899915.999999993 36883174.00000013 91125081.9999999 cycle4 0.669205813967655 1.0620154586801682
1570607.999999999 36883174.00000013 91125081.99999967 K4 1.3707604821880146 1.7635701269005268
10036655847.99998 10036655847.99998 10036655847.999931 K14 0.0 -2.1697367997449015e-15
2211681970.0000014 6512605664.035882 8817962658.86798 chair 0.4690321050799556 0.6006455778885581
1130520894.0000002 4284950311.573831 8817962658.867935 path5 0.5786671969193244 0.8920896621260038
862565553.9999999 4400728309.247727 8817962658.867935 cricket 0.7077324461714836 1.0095761445161315
322485247.99999994 2909232249.0958815 8817962658.867935 pan4c 0.9552685403760256 1.4368584026591933
120481700.00000003 2013086492.300241 8817962658.867935 butterfly 1.2229413479537885 1.8644471685952753
398770818.00000006 2740679362.230462 8817962658.867891 pan4 0.8371348603131118 1.3446448862168114
185120669.99999982 1840434454.3148866 8817962658.867935 cycle5 0.9974654415521069 1.6779133419663057
188337118.00000015 2211681970.000007 8817962658.867935 K23 1.0697867571037845 1.6704323349923391
511335581.9999996 4033914014.1345983 8817962658.867935 bull 0.8970206219012001 1.2366622406362398
203315995.99999997 2740679362.2304554 8817962658.867935 dart 1.12968668115403 1.637196707057733
102895063.99999999 1840434454.3148866 8817962658.867935 house 1.2525258133542736 1.9329737137684722
75349962.0 2211681969.999996 8817962658.867935 K3u2K1c 1.4676396398831448 2.068285217771702
56621445.99999997 1840434454.314891 8817962658.867935 P2uP3c 1.511939398792873 2.1923872992070708
31109749.999999966 1840434454.3149002 8817962658.86798 wheel4 1.7720238338839944 2.452471734298192
152107850.0000001 2672543032.9277587 8817962658.867935 kite 1.2447730791357334 1.7632166276492514
90602790.00000003 2672543032.9278245 8817962658.867935 clawuK1c 1.4697831354483095 1.9882266839618166
57717364.00000001 1840434454.314891 8817962658.86798 fan3 1.5036138667033436 2.1840617671175435
33636647.99999997 1840434454.314891 8817962658.867935 P3u2K1c 1.738107644545382 2.4185555449595797
19547412.000000022 1840434454.3149047 8817962658.86798 K5_e 1.9738310883207064 2.654278988734903
12437760.000000004 1840434454.314891 8817962658.867935 K5 2.1701781826099498 2.850626083024147
