true ambi dex shape ambi_rel dex_rel
78172829.99999997 78172830.00000016 78172830.00000016 path3 1.0607602132086145e-15 1.0607602132086145e-15
3618527.9999999967 35431411.34986205 70579420.10642256 K3 0.9908565145325529 1.2901461482693606
122546865888.00018 122546865887.99959 122546865888.00018 claw -2.121520426417237e-15 0.0
8136448567.999987 22270574987.934658 29167829616.522305 path4 0.4372965463873112 0.554469230865143
1789634286.0000002 14549420864.577188 29167829616.52202 pan3 0.9100814152745338 1.212139822965851
212594515.99999976 8136448567.999947 29167829616.52216 fan2 1.5828828260765342 2.137352056941677
712662647.9999995 8136448568.000027 29167829616.522305 cycle4 1.0575508863313168 1.6120201171964577
42423552.0 8136448567.999987 29167829616.52216 K4 2.2828278556175374 2.8372970864826783
381988452354797.56 381988452354797.56 381988452354799.44 K14 0.0 2.1215204264172266e-15
7059614415602.006 18553831430511.977 18602808629573.547 chair 0.4196526252711302 0.4207975371671486
1505410209764.001 6830059327337.695 12053971019535.816 path5 0.6567696189573233 0.9034752858771139
3271567827565.9976 15952663935291.611 18602808629573.457 cricket 0.6880772875734368 0.7548225897147595
86763219025.99985 4074731328308.1353 12053971019535.936 pan4c 1.6717633218371684 2.1427944864714705
35822671543.999954 2708209554975.537 12053971019535.816 butterfly 1.8785242949538288 2.526972171931857
470257766087.999 5267996474273.577 12053971019535.816 pan4 1.0493094991756373 1.4087941665385424
72372724050.0 2443675892435.996 12053971019535.816 cycle5 1.5284686849879172 2.2215552235693443
194703647826.00046 4653730103267.494 12053971019535.816 K23 1.3784271042095313 1.7917560547693474
679324912374.0006 6830059327337.729 12053971019535.816 bull 1.0023469346322953 1.2490526015520838
226740048240.0004 5267996474273.421 12053971019535.816 dart 1.3661172409295337 1.7256019082924514
27551329108.00005 2443675892435.984 12053971019535.758 house 1.9479010498482991 2.6409875884297263
57022782036.00011 4653730103267.402 12053971019535.875 K3u2K1c 1.9117527905171392 2.325081741076966
8813001377.99998 2443675892436.02 12053971019535.816 P2uP3c 2.442919766381504 3.1360063049629265
2830693127.9999995 2443675892435.984 12053971019535.697 wheel4 2.9361508138296273 3.6292373524110526
54099528284.000015 4042889557874.029 12053971019535.875 kite 1.8734983992723482 2.347936664660121
25151635925.999992 4042889557874.029 12053971019535.936 clawuK1c 2.206125639681611 2.6805639050693855
11700922588.00002 2443675892435.996 12053971019535.758 fan3 2.3198234982978083 3.012910036879233
4318335195.99999 2443675892436.008 12053971019535.697 P3u2K1c 2.75272725447947 3.4458137930608905
1295094468.0000007 2443675892436.02 12053971019535.816 K5_e 3.2757421561201903 3.9688286947016134
528296519.9999996 2443675892435.996 12053971019535.816 K5 3.665165854502359 4.358252393083786
