true ambi dex shape ambi_rel dex_rel
4208818.000000002 4208818.000000002 4208818.000000002 path3 0.0 0.0
175596.0000000001 2211469.8135287673 4208818.000000002 K3 1.1001663969998077 1.379645527510955
1233242416.000001 1233242416.000001 1233242415.9999979 claw 0.0 -1.1089765865362815e-15
130963060.00000001 437280396.12056535 679537656.6470608 path4 0.5236111937919459 0.7150647142348943
15711799.999999989 243253541.24851024 679537656.6470591 pan3 1.189833229160961 1.6359875859881428
1789684.0000000014 130963060.00000033 679537656.6470608 fan2 1.8643724585073627 2.5794371727422556
13170883.999999996 130963059.99999969 679537656.6470608 cycle4 0.9975338891673132 1.7125986034022085
469919.99999999977 130963059.99999969 679537656.6470608 K4 2.4451248847937976 3.1601895990286932
646454959858.0016 646454959858.0016 646454959858.0048 K14 0.0 2.1215204264172266e-15
24008230104.00002 119629371166.73581 128919008818.43622 chair 0.6974776749866137 0.7299568129411446
6994545389.999986 46237472683.85885 109715228076.23808 path5 0.8202345949464275 1.195507417454356
4575985371.999992 80722104497.72285 128919008818.43684 cricket 1.2465078483404364 1.4498323303382363
497951258.00000006 25937641126.88696 109715228076.23753 pan4c 1.7167436431729535 2.343080076370309
75332264.00000001 15428248159.737766 109715228076.23808 butterfly 2.3113355960663045 3.16328589055094
1964093195.999999 28547981358.91454 109715228076.23862 pan4 1.162413313338145 1.7471048190953762
200517969.99999988 12997260653.108162 109715228076.23862 cycle5 1.8116985293072052 2.738113610998193
1325810889.9999993 22282062484.706436 109715228076.23862 K23 1.225473805848527 1.9177853283372392
1437105163.9999988 46081899610.0122 109715228076.23862 bull 1.5060418235249997 1.8827783603061443
282993750.0000001 28547981358.9144 109715228076.23862 dart 2.0037985603928905 2.5884900661501242
69235425.99999994 12997260653.108162 109715228076.23862 house 2.273523459841186 3.199938541532174
49927020.00000001 22282062484.706547 109715228076.23862 K3u2K1c 2.6496197427284462 3.3419312652171564
28523740.000000034 12997260653.108227 109715228076.23808 P2uP3c 2.6586453594616692 3.585060441152653
7497483.999999993 12997260653.108227 109715228076.23862 wheel4 3.2389362809415405 4.165351362632527
112227719.99999997 24473219253.33265 109715228076.23808 kite 2.3385909610713633 2.990166770307428
38452103.99999998 24473219253.33241 109715228076.23862 clawuK1c 2.803770992761167 3.455346801997238
18378478.00000001 12997260653.108162 109715228076.23808 fan3 2.8495422858038637 3.77595736749485
6768316.000000002 12997260653.108227 109715228076.23862 P3u2K1c 3.283371201667851 4.209786283358837
2921255.9999999986 12997260653.108099 109715228076.23808 K5_e 3.6482822111648443 4.5746972928558325
1457280.0000000012 12997260653.108162 109715228076.23862 K5 3.950308823969254 4.876723905660242
