true ambi dex shape ambi_rel dex_rel
14374902.00000001 14374902.00000001 14374902.00000001 path3 0.0 0.0
1200864.0000000012 8878731.61654541 14374902.00000001 K3 0.8688571029128531 1.0781110670366818
5373598800.000004 5373598800.0000305 5373598799.999978 claw 2.1215204264172266e-15 -2.0733040530895722e-15
1052949911.999999 2527323487.4167347 3495209323.0251265 path4 0.38025312082524 0.5210654774986386
208248094.00000006 1642851889.058164 3495209323.0251265 pan3 0.8970173762814228 1.2248921549308682
35929123.99999998 1052949911.9999965 3495209323.0251265 fan2 1.4669610839749814 1.988026561473621
122788888.00000001 1052949911.999999 3495209323.0251265 cycle4 0.9332486463019362 1.4543141238005748
10645871.99999999 1052949911.999999 3495209323.0251265 K4 1.99522647247495 2.5162919499735885
3483349372637.9966 3483349372637.9966 3483349372637.9966 K14 0.0 0.0
268877086778.00046 890599066761.2662 946871469076.0338 chair 0.520128441702912 0.5467372366777211
104712327999.99988 451218285948.6262 849848451958.9597 path5 0.63438887635023 0.9093436725793783
80206127646.00009 668317866947.1185 946871469076.0338 cricket 0.9207755226998154 1.0720834815858735
15096477116.000006 295544366132.89276 849848451958.9597 pan4c 1.2917470719317659 1.7504658746441013
3593356455.9999957 200852652482.1853 849848451958.9597 butterfly 1.747377270691498 2.3738411869055693
25077831214.00003 313212635715.94666 849848451958.9597 pan4 1.0965492991339176 1.5300515126195753
7238856859.999997 179073055749.11075 849848451958.9597 cycle5 1.3933602555447562 2.0696714986166582
9565385730.000013 255490405430.47928 849848451958.964 K23 1.4266721075754625 1.9486389997545686
33584554272.000076 450056338270.96643 849848451958.9597 bull 1.127127293575664 1.4032018988634256
9573511972.000013 313212635715.94666 849848451958.9597 dart 1.5147679894524733 1.948270202938131
2663946836.000003 179073055749.10898 849848451958.9597 house 1.827504691155482 2.5038159342273882
2658335580.000003 255490405430.48056 849848451958.9597 K3u2K1c 1.9827647914316477 2.5047316836107494
988697881.999999 179073055749.10898 849848451958.9597 P2uP3c 2.257966640781854 2.9342778838537606
376413672.0000001 179073055749.11075 849848451958.9597 wheel4 2.6773648552148477 3.3536760982867495
4536203813.9999895 283888999000.3752 849848451958.9597 kite 1.7964560040799158 2.272648928259754
1895181881.9999998 283888999000.3752 849848451958.9597 clawuK1c 2.175497667615133 2.651690591794971
1072614740.0000013 179073055749.10898 849848451958.9597 fan3 2.222586483793594 2.8988977268655
442511835.99999964 179073055749.11075 849848451958.964 P3u2K1c 2.6071053531912467 3.283416596263151
182694156.0 179073055749.11075 849848451958.9597 K5_e 2.991305589176397 3.667616832248299
93088319.99999999 179073055749.11075 849848451958.9597 K5 3.284135052090016 3.9604462951619177
