true ambi dex shape ambi_rel dex_rel
47080032.00000001 47080031.99999989 47080031.99999989 path3 -1.1089765865362815e-15 -1.1089765865362815e-15
2536163.9999999986 23662593.156284362 44929424.620814726 K3 0.9698850031397505 1.248353523336645
40521339692.0001 40521339692.0001 40521339692.0001 claw 0.0 0.0
4370246041.999991 11941902084.146517 15972558076.307434 path4 0.43656761777260517 0.5628685877495134
906290789.9999993 7696442697.986915 15972558076.307434 pan3 0.9290224737039624 1.2461069093201054
128075011.99999985 4370246041.999991 15972558076.307434 fan2 1.5330414829149752 2.095910070664489
470734611.9999996 4370246041.999991 15972558076.307434 cycle4 0.9677297560303683 1.5305983437798816
22359791.999999978 4370246041.999991 15972558076.307434 K4 2.291038128907691 2.8539067166572045
54851912305080.08 54851912305080.35 54851912305080.35 K14 2.1215204264172266e-15 2.1215204264172266e-15
2438004138430.001 7452311445686.648 7599487552644.803 chair 0.48525655807866885 0.493749869513052
714947868636.0013 3081879067381.5215 5678296876804.909 path5 0.6345412172435216 0.8999437190778578
937950838049.9987 6014035746670.108 7599487552644.803 cricket 0.8069859293893658 0.9086042322218718
48239975001.999886 1893063449741.0676 5678296876804.909 pan4c 1.5937580963602718 2.0708110207998156
20127358239.99997 1265473785666.2188 5678296876804.9375 butterfly 1.7984663766380367 2.450431318356149
215030296035.99994 2286052321547.3486 5678296876804.881 pan4 1.0265865131782375 1.4217184420607
35887344330.000046 1123653374016.1902 5678296876804.854 cycle5 1.4956910385415445 2.199276773228431
87303283631.9998 1964300782092.4192 5678296876804.9375 K23 1.3521774109598024 1.8131875162783821
289770280125.9997 3081879067381.5063 5678296876804.9375 bull 1.026761752418473 1.2921642542528133
102667707106.0001 2286052321547.3486 5678296876804.9375 dart 1.347652303034075 1.7427842319165419
13031848754.000011 1123653374016.1846 5678296876804.909 house 1.9356263292307827 2.6392120639176757
34037237159.999966 1964300782092.3997 5678296876804.909 K3u2K1c 1.7612536888794392 2.2222637941980214
4274554826.000003 1123653374016.1846 5678296876804.881 P2uP3c 2.4197414684223806 3.1233272031092714
1333909932.000001 1123653374016.1846 5678296876804.881 wheel4 2.9255058539680308 3.6290915886549215
22152457103.999958 1857445881741.8557 5678296876804.881 kite 1.923494264817286 2.408796190617874
9358389036.000023 1857445881741.8467 5678296876804.909 clawuK1c 2.2977150738660463 2.7830169996666387
5129852155.999995 1123653374016.1846 5678296876804.881 fan3 2.3405275114086703 3.0441132460955607
1835338319.999998 1123653374016.1846 5678296876804.909 P3u2K1c 2.7869162278634994 3.4905019625503924
527274515.9999996 1123653374016.1846 5678296876804.881 K5_e 3.3285955784844665 4.032181313171357
179956919.99999985 1123653374016.1902 5678296876804.909 K5 3.795463808676244 4.499049543363134
