true ambi dex shape ambi_rel dex_rel
143827251.0 143827251.00000036 143827251.00000036 path3 1.0607602132086145e-15 1.0607602132086145e-15
3785274.999999997 45464304.0584483 109786447.14660229 K3 1.079573111092642 1.4624512944405388
243958947261.0005 243958947261.0005 243958947261.0005 claw 0.0 0.0
9826788327.000015 38941393047.39933 52569233072.917336 path4 0.5979998821705768 0.7283200399137747
1869357005.9999993 23347116914.266663 52569233072.917336 pan3 1.0965410081359084 1.4490393912106865
578336642.9999999 9826788327.000015 52569233072.917336 fan2 1.230230891507705 1.9585509314214797
4970063546.999998 9826788326.999968 52569233072.917336 cycle4 0.29604965963600416 1.024369699549781
79442449.00000004 9826788326.999968 52569233072.917336 K4 2.0923589774330624 2.8206790173468392
544269423428416.25 544269423428416.25 544269423428416.25 K14 0.0 0.0
9433430866767.002 42711952960546.125 43998754961030.375 chair 0.655879758500308 0.66877071631454
5108017664149.0 13315399935264.756 25171816173124.418 path5 0.4161018248040225 0.6926621610470864
3424129907499.996 36559194433669.21 43998754961030.59 cricket 1.028446384728243 1.1088901544234864
74208472033.99998 6175377845927.904 25171816173124.297 pan4c 1.9202100459564981 2.53046106200619
30870392853.000027 3789878930582.006 25171816173124.418 butterfly 2.089083180155642 2.9113723951865063
3805382032224.9946 9648123090145.2 25171816173124.297 pan4 0.40404457228221513 0.8205162882336401
89431868420.00012 3058046131114.572 25171816173124.418 cycle5 1.5339517283543138 2.4494222473113627
2937367721624.9966 8240412755718.73 25171816173124.418 K23 0.44799064755465046 0.9329562333320688
1312494581521.0002 13315399935264.822 25171816173124.418 bull 1.006256696093189 1.2828170323362507
914126854537.9978 9648123090145.627 25171816173124.418 dart 1.023436368023398 1.4399080839748057
44046698628.99999 3058046131114.572 25171816173124.418 house 1.8415306696303493 2.757001188587398
647768012562.9994 8240412755718.649 25171816173124.418 K3u2K1c 1.1045294674023631 1.5894950531797858
25081955676.0 3058046131114.572 25171816173124.418 P2uP3c 2.0860826364858345 3.0015531554428834
10728049542.999998 3058046131114.572 25171816173124.418 wheel4 2.45492326207218 3.370393781029229
47453150335.00002 6116065970320.626 25171816173124.418 kite 2.110207111436503 2.7246495016823307
21982723403.000008 6116065970320.626 25171816173124.297 clawuK1c 2.444390665797766 3.058833056043592
15655800074.999985 3058046131114.572 25171816173124.297 fan3 2.2907687657945686 3.2062392847516157
7686175578.999985 3058046131114.5864 25171816173124.418 P3u2K1c 2.5997337314883175 3.5152042504453647
4740761919.000005 3058046131114.572 25171816173124.297 K5_e 2.8095958869238404 3.725066405880887
2742681295.0 3058046131114.572 25171816173124.418 K5 3.0472686878701345 3.9627392068271834
