true ambi dex shape ambi_rel dex_rel
254912549.9999997 254912549.9999997 254912549.9999997 path3 0.0 0.0
3142859.9999999986 58373768.18040779 166208389.4805584 K3 1.2688926934462335 1.7233279056873063
1358290560211.9985 1358290560211.9985 1358290560211.9985 claw 0.0 0.0
18710998112.000023 67549781984.79845 91384089349.28397 path4 0.5575269967368438 0.6887736334619051
3522026379.9999976 40120716910.13657 91384089349.28351 pan3 1.0565760802386657 1.414077983899114
162650311.99999994 17288251021.16408 91384089349.28397 fan2 2.0264961590768267 2.7496156877175046
992333398.0000005 17288251021.164165 91384089349.28397 cycle4 1.2410934515418983 1.964212980182574
16589880.000000004 17288251021.16408 91384089349.28397 K4 3.017907815127886 3.741027343768564
1.087013168007552e+16 1.087013168007552e+16 1.0870131680075466e+16 K14 0.0 -2.1697367997449015e-15
49022603243658.0 129553802095172.81 129553802095173.45 chair 0.4220537931803228 0.42205379318032493
21303569358419.953 117145334289349.47 129553802095173.45 cricket 0.7402726215632032 0.7839977885543076
550403005825.9993 22617570916709.617 50244466072362.414 dart 1.6137651637326633 1.9604074385383161
2114379553704.001 28215958232295.117 50244466072362.414 bull 1.1253118533137574 1.3759052850478874
88323046812.0001 20500919779638.473 50244466072361.92 K3u2K1c 2.365699304074003 2.7550141933485386
4796528564140.002 28215958232295.117 50244466072362.414 path5 0.7695677686687161 1.0201612004028464
2114637355120.001 22617570916709.617 50244466072362.414 pan4 1.0292100609469501 1.375852335752603
206568014232.0002 12391539644597.07 50244466072362.17 pan4c 1.778062196071669 2.3860251609147043
1462608603108.001 20500919779638.273 50244466072361.92 K23 1.1466452226101855 1.535960111884725
22230576339.99995 6268863661976.124 50244466072362.414 house 2.4502381025430493 3.354137513343894
56725354944.00003 6964008422223.154 50244466072362.17 butterfly 2.08908206562927 2.94731101346468
6574382208.000004 6268863661976.124 50244466072362.414 P2uP3c 2.97933387610811 3.8832332869089545
998923356.0000006 6268863661976.124 50244466072362.17 wheel4 3.7976566571507755 4.701556067951618
52623744775.99991 12391539644597.01 50244466072362.17 kite 2.371943520845657 2.9799064856886948
23036412551.999943 12391539644597.01 50244466072362.914 clawuK1c 2.7307104230973955 3.3386733879404393
6794425978.000015 6268863661976.124 50244466072362.664 fan3 2.9650360531392317 3.8689354639400784
1758154003.9999986 6268863661976.124 50244466072362.414 P3u2K1c 3.552131910654308 4.456031321455153
306856704.0000002 6268863661976.062 50244466072361.92 K5_e 4.3102532088139665 5.214152619614811
61258650630.00012 6268863661976.154 50244466072362.17 cycle5 2.010021398523752 2.9139208093245923
92817719.99999999 6268863661976.093 50244466072362.414 K5 4.829557928627943 5.73345733942879
