true ambi dex shape ambi_rel dex_rel
165849613.99999985 165849613.99999943 165849613.99999943 path3 -1.1089765865362815e-15 -1.1089765865362815e-15
57629063.00000004 125755532.70238405 163030947.06258103 K3 0.3388855428605049 0.45162849303855757
127890040091.99994 127890040091.99994 127890040091.99994 claw 0.0 0.0
56029473268.99991 80245116196.07835 89062196531.64398 path4 0.15600207055234228 0.20127686218625848
34575758387.00008 68109081513.42952 89062196531.64398 pan3 0.2944333089038967 0.41092168715662947
19617862013.000004 55966535180.904396 89062196531.64355 fan2 0.4552767456108201 0.6570417263937501
30294952621.99994 55966535180.90467 89062196531.64398 cycle4 0.26655814345987017 0.4683231242428002
9962686508.000011 55966535180.904396 89062196531.64398 K4 0.7495519563470733 0.9513169371300055
124290397555562.22 124290397555562.83 124290397555562.83 K14 2.1215204264172266e-15 2.1215204264172266e-15
36398910371616.93 53899248796865.555 54411750387390.75 chair 0.17049432947558854 0.17460431415969732
23625474524534.05 39071929677041.055 48653798520819.086 path5 0.21848432040782365 0.31373621215836417
28434108782999.016 49228711706545.8 54411750387390.484 cricket 0.23837885002157233 0.2818530764690857
11217468102445.01 32724354289694.926 48653798520819.086 pan4c 0.4649762426329148 0.6372219090943654
7867212660699.011 27970200669884.93 48653798520819.086 butterfly 0.5508746923360363 0.7912958625019657
17267396483802.992 34761601145425.4 48653798520819.086 pan4 0.30387291102999514 0.4498898912214038
9483320699415.023 27221404332325.457 48653798520819.086 cycle5 0.4579500889459298 0.7101563149245919
13145561969599.984 32436323108924.875 48653798520819.086 K23 0.39225246109516243 0.5683375955349027
19353332782664.99 39071929677041.63 48653798520818.84 bull 0.30510909618900794 0.40036098793953984
14899668226744.969 34761601145425.4 48653798520819.086 dart 0.36792317415053777 0.5139401543419464
7543329854178.003 27221404332325.324 48653798520818.84 house 0.5573474274510931 0.8095536534297552
11456668954762.992 32436323108924.875 48653798520819.086 K3u2K1c 0.4519732537648911 0.6280583882046314
5807525149155.007 27221404332325.594 48653798520819.086 P2uP3c 0.6709194272159922 0.9231256531946521
4312721615579.0005 27221404332325.594 48653798520819.086 wheel4 0.8001591008606711 1.0523653268393311
8572088285783.993 32595347914786.223 48653798520819.086 kite 0.5800689856689653 0.7540301170731182
6667110894256.998 32595347914785.742 48653798520818.84 clawuK1c 0.6892179421353327 0.86317907353949
5903656505930.013 27221404332325.457 48653798520819.086 fan3 0.6637894455049205 0.9159956714835825
4386034850537.9937 27221404332325.324 48653798520818.84 P3u2K1c 0.7928384482091574 1.0450446741878194
2974382449613.996 27221404332325.594 48653798520818.84 K5_e 0.9615137165051071 1.2137199424837648
1692557912334.997 27221404332325.457 48653798520819.086 K5 1.2063669890064384 1.4585732149851005
