true ambi dex shape ambi_rel dex_rel
20817318.999999974 20817319.000000026 20817319.000000026 path3 1.0607602132086145e-15 1.0607602132086145e-15
2340835.000000002 15580671.912040457 20817318.999999974 K3 0.8232153801960075 0.9490539949234074
3730664981.0000024 3730664981.0000114 3730664980.999993 claw 1.0607602132086145e-15 -1.1089765865362815e-15
1110180648.9999998 2291783680.003513 3658642278.1693945 path4 0.31477996935802055 0.5179262955537536
138619082.99999985 1548706952.9890733 3658642278.1693854 pan3 1.0481462265864756 1.421496927093431
34210186.99999996 1110180648.999997 3658642278.1693764 fan2 1.511238204957786 2.0291645005115386
106188582.99999988 1110180648.999997 3658642278.1693764 cycle4 1.0193158275591978 1.5372421231129505
19847287.000000022 1110180649.0000024 3658642278.1693854 K4 1.7476925032765611 2.2656187988303125
1419836270251.001 1419836270250.994 1419836270251.0078 K14 -2.1697367997449015e-15 2.1215204264172266e-15
184578430088.9998 705699369803.6361 899808177649.6617 chair 0.582438781781207 0.6879689879849331
68345689641.00016 400615770781.9736 899808177649.6617 path5 0.7680169117755299 1.1194388057002935
23608041234.99997 453287364501.93097 899808177649.6617 cricket 1.2833136581073799 1.5810899807555658
7680912770.999986 251594828634.8987 899808177649.6617 pan4c 1.515288877196197 2.06873710277558
1343125264.9999986 158325452522.10486 899808177649.6617 butterfly 2.0714342194691837 2.8260334172865837
10715045619.000023 237189684651.45828 899808177649.6617 pan4 1.3451017733142663 1.9241559114307503
2439204364.9999976 136665933762.70502 899808177649.6617 cycle5 1.7484120844618445 2.5669017472730684
5249823181.000005 184578430089.0007 899808177649.6617 K23 1.5460362716197211 2.2340052596046522
10042041869.000021 376916849471.9362 899808177649.6617 bull 1.574423524554855 1.9523279080318574
2375258686.9999976 237189684651.45828 899808177649.6617 dart 1.9993848825867935 2.5784390207032777
1167359395.999999 136665933762.70502 899808177649.6661 house 2.068455689728327 2.886945352539553
798470035.0000006 184578430088.9998 899808177649.6307 K3u2K1c 2.3639223252559183 3.0518913132408363
701484640.9999996 136665933762.70569 899808177649.6617 P2uP3c 2.2896421064029964 3.108131769214218
433121490.99999976 136665933762.70502 899808177649.6661 wheel4 2.4990505395306664 3.3175402023418923
1954920448.0000014 226161906180.39697 899808177649.6617 kite 2.0632903666471716 2.663020846556549
1075052749.9999995 226161906180.41144 899808177649.6617 clawuK1c 2.322989681441497 2.9227201613508464
632859677.0000007 136665933762.70569 899808177649.6617 fan3 2.3343528477517164 3.152842510562938
442482549.99999994 136665933762.70435 899808177649.6617 P3u2K1c 2.4897641247166504 3.308253787527877
327566890.99999976 136665933762.70502 899808177649.6617 K5_e 2.620360274239726 3.43884993705095
259421434.99999997 136665933762.70435 899808177649.6617 K5 2.72165441567663 3.540144078487856
