true ambi dex shape ambi_rel dex_rel
3564223.0000000005 3564223.0000000005 3564223.0000000005 path3 0.0 0.0
1048721.000000001 2895108.8280019737 3564223.0000000005 K3 0.4410049290548542 0.5313049038096374
331645678.99999964 331645678.9999988 331645679.0000004 claw -1.1089765865362815e-15 1.0607602132086145e-15
155539754.99999997 245900355.65954542 331645678.9999988 path4 0.19891774634741158 0.3288329327272277
67826532.00000007 192367266.16801354 331645678.9999988 pan3 0.4527315610770237 0.6892747312961104
28898339.0 155539754.99999997 331645678.9999988 fan2 0.7309685291592157 1.0598014618864433
52045903.00000005 155539755.00000033 331645678.99999964 cycle4 0.475454862559594 0.8042877952868218
15731664.99999999 155539754.9999988 331645679.0000004 K4 0.9950667208408756 1.3238996535681087
50618183862.99989 50618183862.99964 50618183862.99989 K14 -2.1697367997449015e-15 0.0
13401179637.00003 34225236024.886986 44405166559.13187 chair 0.40720342304862805 0.5202904746338356
8189513956.999996 23695215235.20372 44405166559.13143 path5 0.46140253056753394 0.7341753759989708
7112141214.0000105 24361300606.027214 44405166559.13143 cricket 0.5347000996676666 0.7954331322800295
3311268900.999997 16960415102.859285 44405166559.13143 pan4c 0.7094420270220962 1.127439053091887
1671341843.0 12395548985.94661 44405166559.13143 butterfly 0.8702004798535651 1.4243682172672676
3827779435.0000033 16139471077.902075 44405166559.13143 pan4 0.6249423931074773 1.0644865985630292
2365370678.000001 11503413068.291763 44405166559.13143 cycle5 0.686927506023512 1.2735342945583883
1982243167.000002 13401179637.00003 44405166559.13143 K23 0.829986099292282 1.3502765739261133
4711147545.000008 22590975480.184494 44405166559.13143 bull 0.6808082783928844 0.9743067975895833
2504912117.999997 16139471077.901995 44405166559.13143 dart 0.8090968041966224 1.2486410096521763
1464974253.9999986 11503413068.291706 44405166559.13143 house 0.8949967225534623 1.4816035110883405
1280509331.0000012 13401179636.999897 44405166559.13165 K3u2K1c 1.0197602812640405 1.5400507558978784
876593650.0 11503413068.291706 44405166559.13143 P2uP3c 1.118028394536513 1.7046351830713913
544171968.9999996 11503413068.291763 44405166559.13165 wheel4 1.3250905479076396 1.911697336442518
1869661250.999999 15805271086.54733 44405166559.13165 kite 0.9270390217954274 1.375670576080587
1218186841.9999998 15805271086.547487 44405166559.13143 clawuK1c 1.1130880448620473 1.5617195991472004
941446739.0000006 11503413068.291763 44405166559.13143 fan3 1.0870309593988619 1.673637747933738
594274293.9999993 11503413068.291763 44405166559.13143 P3u2K1c 1.2868397700882184 1.8734465586230946
364602641.00000036 11503413068.29182 44405166559.13165 K5_e 1.499006904715275 2.085613693250151
240374543.00000024 11503413068.291763 44405166559.13143 K5 1.6799382432918217 2.266545031826698
