true ambi dex shape ambi_rel dex_rel
6794623.999999992 6794624.000000008 6794624.000000008 path3 1.0607602132086145e-15 1.0607602132086145e-15
1112436.9999999988 5563010.707267328 6794623.999999992 K3 0.69903447063755 0.7858900036014761
802762575.9999999 802762576.0000018 802762575.9999979 claw 1.0607602132086145e-15 -1.1089765865362815e-15
436879526.9999996 642993813.9200126 802762575.9999999 path4 0.16784510138102657 0.2642254245801961
109120243.99999987 526122116.9446676 802762575.9999979 pan3 0.6831812304819783 0.8666817894823633
32641142.99999998 436879526.9999996 802762575.9999979 fan2 1.1265963352207478 1.3908217598009427
89692000.00000003 436879526.9999985 802762575.9999979 cycle4 0.6876079850739106 0.9518334096541067
13814287.999999985 436879526.9999985 802762575.9999999 K4 1.500033187399328 1.7642586119795254
140474310752.00012 140474310752.0008 140474310752.0008 K14 2.1215204264172266e-15 2.1215204264172266e-15
53144253012.99988 107527292438.98773 132368420699.57448 chair 0.3060624032510004 0.3963280802217878
33941711497.999928 82778162039.01506 132368420699.57448 path5 0.38718204166566905 0.5910506496115104
15775034178.000011 83311439775.828 132368420699.57382 cricket 0.7227343310925725 0.9238140784263401
8897262566.0 64283421012.69034 132368420699.57448 pan4c 0.858842573671277 1.172527980113372
2919470367.000002 50388967820.57736 132368420699.57448 butterfly 1.2370313907921766 1.6564803158159667
10090752529.000008 62161766156.69495 132368420699.57448 pan4 0.7895997898242424 1.117860831846081
6056665895.99999 47923906891.19841 132368420699.57448 cycle5 0.8983185984002172 1.3395507699531919
3781329295.999998 53144253012.99988 132368420699.57448 K23 1.1478118076365318 1.5441398878583197
12108417078.999983 79841026419.58032 132368420699.57318 bull 0.8191387395348084 1.038697015301092
4194492595.9999995 62161766156.695564 132368420699.57382 dart 1.170843913130029 1.4991049551518612
2628208277.0000024 47923906891.19841 132368420699.57382 house 1.260892437044131 1.7021246085971036
1498258189.0 53144253012.99988 132368420699.57448 K3u2K1c 1.54986964696924 1.9461977271910278
1177343017.9999988 47923906891.19841 132368420699.57448 P2uP3c 1.6096492030787228 2.0508813746316976
554518464.9999998 47923906891.19841 132368420699.57382 wheel4 1.9366362033596611 2.3778683749126337
3492389859.999999 61420699562.63097 132368420699.57448 kite 1.245192040019242 1.5786616686859416
1623539986.0000005 61420699562.63278 132368420699.57448 clawuK1c 1.5778517693260208 1.9113213979927077
1208981101.999999 47923906891.19841 132368420699.57448 fan3 1.598132703420576 2.0393648749735505
586725479.0000005 47923906891.19841 132368420699.57448 P3u2K1c 1.9121172675338785 2.3533494390868532
296720844.00000024 47923906891.19841 132368420699.57318 K5_e 2.2082041600876594 2.64943633164063
167938930.99999994 47923906891.19841 132368420699.57382 K5 2.455400831331223 2.8966330028841956
