true ambi dex shape ambi_rel dex_rel
9865129.999999993 9865130.000000017 9865130.000000017 path3 1.0607602132086145e-15 1.0607602132086145e-15
402900.00000000035 9677772.000898747 9865130.000000017 K3 1.3805781189399267 1.3889055452521033
33675221.99999998 33675221.99999989 33675221.99999998 claw -1.157192959863946e-15 0.0
31818558.00000003 32997552.992312018 33675221.99999998 path4 0.015801241225500116 0.02462997367720619
1442180.000000001 32382533.989762302 33675221.99999989 pan3 1.3512913615311046 1.3682909989238843
426332.0000000004 31818557.999999873 33675221.99999998 fan2 1.87293256223782 1.8975625359150283
17908879.99999998 31818558.00000003 33675221.99999998 cycle4 0.24961206732406482 0.27424204100127103
503.9999999999998 31818557.99999995 33675221.99999998 K4 4.8002499573177895 4.824879930994997
119929357.99999999 119929357.99999969 119929358.00000028 K14 -1.060760213208617e-15 1.0607602132086145e-15
109523078.00000012 117065745.75794439 119929357.99999969 chair 0.02892419554487158 0.03941986827837074
5331559.999999997 114223091.48913953 119929357.99999999 cricket 1.330899609315783 1.3520712078341453
1534987.999999999 111117731.73788944 119929358.00000028 dart 1.8596783828409056 1.8928205241789489
5193728.000000001 113785450.81232803 119929357.99999969 bull 1.3406075329895786 1.3634463073293777
473220.00000000035 109523077.99999958 119929357.99999999 K3u2K1c 2.364442549354824 2.403862417633198
105310622.00000001 114275074.36073345 119929357.99999969 path5 0.03547933469944598 0.05645333097804968
60149894.00000004 111117731.7378897 119929357.99999969 pan4 0.26654850116987044 0.2996906425079106
4990292.000000005 111534044.41147508 119929357.99999999 pan4c 1.3492814922272878 1.3807995503380195
44248015.99999999 109523078.00000012 119929357.99999999 K23 0.39361183806328365 0.43303170634165544
2591819.9999999977 108384385.50842045 119929357.99999969 house 1.6213618828810104 1.6653206720305793
990471.9999999994 108951652.54908124 119929357.99999969 butterfly 2.0413916190677814 2.0830833060176417
1490240.0000000002 108384385.50841965 119929358.00000058 P2uP3c 1.8617105034406563 1.9056692925902319
450220.00000000035 108384385.50841992 119929357.99999969 wheel4 2.381541936055204 2.4255007252047753
1527139.9999999993 110991924.77300464 119929357.99999999 kite 1.8614125301347864 1.8950466561738617
1733.999999999999 110991924.77300492 119929357.99999969 clawuK1c 4.806242289663602 4.839876415702674
452104.0000000004 108384385.50841992 119929358.00000028 fan3 2.3797283702121015 2.423687159361675
1012.0000000000001 108384385.50842018 119929357.99999969 P3u2K1c 5.029786207189515 5.0737449963390855
503.9999999999998 108384385.50842045 119929358.00000028 K5_e 5.332536183247772 5.376494972397343
6348339.999999994 108384385.50842018 119929358.00000058 cycle5 1.232306541344317 1.2762653304938905
