true ambi dex shape ambi_rel dex_rel
919524.9999999999 919524.9999999977 919524.9999999977 path3 -1.060760213208617e-15 -1.060760213208617e-15
523054.9999999998 846167.4944011972 919524.9999999999 K3 0.20890897988514365 0.24501618334159062
47642070.99999999 47642070.99999988 47642070.99999999 claw -1.0125438398809526e-15 0.0
37475377.000000045 43816619.72948886 47642070.99999988 path4 0.06789285998043089 0.1042446214764632
27357389.999999993 40463917.17698685 47642070.99999999 pan3 0.1699932614074776 0.24091597033061107
21495713.000000022 37475376.99999986 47642070.99999988 fan2 0.24139415553691956 0.3456387770133849
24925625.000000015 37475377.000000045 47642070.99999988 cycle4 0.17709995363890793 0.28134457511537114
19108225.0 37475376.99999986 47642070.99999988 K4 0.2925256640444745 0.3967702855209399
3379962193.000002 3379962192.999994 3379962193.0000105 K14 -1.060760213208617e-15 1.0607602132086145e-15
2268448402.9999976 3034483416.1039505 3379962193.0000105 chair 0.12635586288213033 0.1731829369803485
1962854020.9999988 2729573332.1763935 3379962193.0000105 path5 0.14320676449001982 0.23602384047006764
1787837067.999998 2728716955.068768 3379962193.0000105 cricket 0.18363055196545477 0.2765839049977476
1526325340.0000005 2460763677.731029 3379962193.000002 pan4c 0.2074227933124974 0.34526472802524577
1259230491.0000002 2226118705.3169813 3379962193.0000105 butterfly 0.2474430877424581 0.4288066113018335
1515314165.000001 2427850469.2343845 3379962193.000002 pan4 0.204719252136341 0.3484091594574134
1337138217.9999988 2184578888.1988115 3379962193.000002 cycle5 0.2131914303492119 0.4027355404876174
1245691615.0 2268448403.0000143 3379962193.000002 K23 0.260318364332871 0.4335013013132152
1643024064.9999988 2689316709.206802 3379962193.0000105 bull 0.21399802572520252 0.31326791795407327
1374682883.9999988 2427850469.2343845 3379962193.0000105 dart 0.24701940977018177 0.3907093170912553
1208047006.0000012 2184578888.198817 3379962193.000002 house 0.2572838989773716 0.44682800911577597
1151094107.0000002 2268448402.999981 3379962193.0000105 K3u2K1c 0.2946180749049381 0.4678010118852897
1096749009.9999993 2184578888.198817 3379962193.0000105 P2uP3c 0.29926048125634847 0.48880459139475396
1014175186.9999999 2184578888.198822 3379962193.000002 wheel4 0.3332547514981387 0.522798861636542
1325847035.0000012 2418163791.0296555 3379962193.000002 kite 0.2609922921256833 0.4064184207079125
1225383162.999999 2418163791.029739 3379962193.0000105 clawuK1c 0.29521380511871914 0.44063993370093446
1112976328.9999998 2184578888.198817 3379962193.000002 fan3 0.29288180453760604 0.4824259146760105
1031570617.9999994 2184578888.1988115 3379962193.000002 P3u2K1c 0.3258687685824257 0.5154128787208312
958175835.0000008 2184578888.198817 3379962193.000002 K5_e 0.3579225184682807 0.5474666286066852
907360162.9999989 2184578888.198806 3379962193.000002 K5 0.3815880243504055 0.5711321344888122
